b	eng	b	B	O	O
统	l	tong	E	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
一	a	yi	B	O	O
般	a	ban	E	O	O
情	n	qing	B	O	O
况	n	kuang	E	O	O
可	v	ke	S	O	O
。	x	。	S	O	O
头	n	tou	B	SB	O
痛	n	tong	E	SE	O
、	x	、	S	O	O
头	n	tou	B	SB	O
晕	n	yun	E	SE	O
症	n	zheng	B	O	O
状	n	zhuang	E	O	O
较	d	jiao	B	O	O
前	f	qian	E	O	O
缓	v	huan	B	O	O
解	v	jie	E	O	O
。	x	。	S	O	O
周	n	zhou	B	O	O
身	n	shen	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
抓	v	zhua	B	O	O
伤	v	shang	E	O	O
已	d	yi	S	O	O
结	v	jie	B	O	O
痂	v	jia	E	O	O
，	x	，	S	O	O
部	n	bu	B	O	O
分	n	fen	E	O	O
脱	v	tuo	B	O	O
痂	v	jia	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	S	O	O
清	a	qing	B	O	O
晰	a	xi	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
啰	y	luo	S	O	O
音	n	yin	S	O	O
，	x	，	S	O	O
律	nr	lv	B	O	O
齐	a	qi	E	O	O
，	x	，	S	O	O
各	r	ge	S	O	O
瓣	n	ban	B	O	O
膜	n	mo	E	O	O
听	v	ting	B	O	O
诊	v	zhen	E	O	O
区	n	qu	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
病	n	bing	B	O	O
理	n	li	I	O	O
性	n	xing	E	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
全	n	quan	B	O	O
腹	n	fu	E	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
无	l	wu	B	O	O
反	l	fan	E	O	O
跳	l	tiao	S	O	O
痛	v	tong	B	O	O
及	v	ji	E	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
，	x	，	S	O	O
全	n	quan	B	O	O
腹	n	fu	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
包	n	bao	B	O	SB
块	n	kuai	E	O	SE
，	x	，	S	O	O
肝	n	gan	S	O	O
、	x	、	S	O	O
脾	n	pi	S	O	O
肋	n	lei	S	O	O
下	f	xia	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
，	x	，	S	O	O
移	n	yi	B	O	O
动	n	dong	I	O	O
性	n	xing	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
双	n	shuang	B	O	O
下	n	xia	I	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
水	n	shui	B	SB	SB
肿	n	zhong	E	SE	SE
，	x	，	S	O	O
神	l	shen	B	O	O
经	l	jing	I	O	O
系	l	xi	I	O	O
统	l	tong	E	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
神	n	shen	B	O	O
志	n	zhi	E	O	O
清	t	qing	S	O	O
，	x	，	S	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
尚	d	shang	B	O	O
好	d	hao	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
头	n	tou	B	SB	SB
痛	n	tong	E	SE	SE
、	x	、	S	O	O
头	n	tou	B	SB	SB
晕	n	yun	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
抽	v	chou	B	SB	O
搐	v	chu	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
，	x	，	S	O	O
二	m	er	B	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
头	n	tou	B	O	O
部	n	bu	E	O	O
创	n	chuang	B	O	O
口	n	kou	E	O	O

敷	v	fu	B	O	O
料	v	liao	E	O	O
包	v	bao	B	O	O
扎	v	zha	E	O	O
固	a	gu	B	O	O
定	a	ding	E	O	O
好	a	hao	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
渗	v	shen	B	O	O
出	v	chu	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
眼	m	yan	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
，	x	，	S	O	O
心	n	xin	B	O	O
肺	n	fei	E	O	O
腹	n	fu	S	O	O
听	v	ting	B	O	O
诊	v	zhen	E	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
无	v	wu	S	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
病	n	bing	B	O	O
理	n	li	E	O	O
征	v	zheng	B	O	O
未	t	wei	E	O	O
引	v	yin	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
病	n	bing	B	O	O
情	n	qing	E	O	O
好	v	hao	B	O	O
转	v	zhuan	E	O	O
，	x	，	S	O	O
要	v	yao	B	O	O
求	v	qiu	E	O	O
今	t	jin	B	O	O
日	t	ri	E	O	O
出	n	chu	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

今	t	jin	B	O	O
日	t	ri	E	O	O
查	v	cha	B	O	O
房	v	fang	E	O	O
，	x	，	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
不	d	bu	S	O	O
在	p	zai	S	O	O
，	x	，	S	O	O
电	n	dian	B	O	O
话	n	hua	E	O	O
询	v	xun	B	O	O
问	v	wen	E	O	O
，	x	，	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
已	d	yi	S	O	O
自	vn	zi	B	O	O
动	vn	dong	E	O	O
离	v	li	B	O	O
开	v	kai	E	O	O
医	n	yi	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
诉	vn	su	S	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
无	v	wu	S	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
声	n	sheng	B	SB	O
音	n	yin	E	SI	O
嘶	a	si	B	SI	O
哑	a	ya	E	SE	O
，	x	，	S	O	O
无	v	wu	S	O	O
饮	n	yin	B	O	O
水	n	shui	E	O	O
呛	v	qiang	B	O	O
咳	v	ke	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
心	a	xin	B	SB	SB
慌	a	huang	E	SE	SE
。	x	。	S	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
纱	n	sha	B	O	O
布	n	bu	E	O	O
干	a	gan	B	O	O
燥	a	zao	E	O	O
固	a	gu	B	O	O
定	a	ding	E	O	O
无	v	wu	S	O	O
渗	v	shen	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
二	m	er	B	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	x	T	S	O	O
：	x	：	S	O	O
3	m	3	B	O	O
6	m	6	I	O	O
.	m	.	I	O	O
3	m	3	E	O	O
C	eng	C	S	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
。	x	。	S	O	O
颈	ng	jing	B	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
抵	vn	di	B	O	O
抗	vn	kang	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	S	O	O
清	a	qing	B	O	O
晰	a	xi	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
干	a	gan	B	O	O
湿	a	shi	E	O	O
性	ng	xing	S	O	O
啰	zg	luo	S	O	O
音	n	yin	S	O	O
。	x	。	S	O	O
心	n	xin	B	O	O
率	n	lv	E	O	O
7	m	7	B	O	O
4	m	4	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
律	nr	lv	B	O	O
齐	a	qi	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
腹	ng	fu	B	O	O
平	a	ping	I	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
肠	n	chang	B	O	O
型	n	xing	E	O	O
及	c	ji	S	O	O
蠕	v	ru	B	O	O
动	v	dong	E	O	O
波	j	bo	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
反	v	fan	B	O	O
跳	v	tiao	E	O	O
痛	v	tong	B	O	O
及	v	ji	E	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
。	x	。	S	O	O
移	n	yi	B	O	O
动	n	dong	I	O	O
性	n	xing	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
脊	n	ji	B	O	O
柱	n	zhu	E	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
自	r	zi	B	O	O
如	r	ru	E	O	O
，	x	，	S	O	O
生	vn	sheng	B	O	O
理	vn	li	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
存	v	cun	B	O	O
在	v	zai	E	O	O
，	x	，	S	O	O
病	n	bing	B	O	O
理	n	li	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
未	d	wei	S	O	O
引	v	yin	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
已	d	yi	S	O	O
拆	n	chai	B	O	O
线	n	xian	E	O	O
，	x	，	S	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
甲	b	jia	B	O	O
级	b	ji	E	O	O
愈	v	yu	B	O	O
合	v	he	E	O	O
。	x	。	S	O	O

查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	x	T	S	O	O
：	x	：	S	O	O
3	m	3	B	O	O
6	m	6	I	O	O
.	m	.	I	O	O
5	m	5	E	O	O
℃	x	℃	S	O	O
、	x	、	S	O	O
P	x	P	S	O	O
：	x	：	S	O	O
7	m	7	B	O	O
8	m	8	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
、	x	、	S	O	O
R	x	R	S	O	O
：	x	：	S	O	O
1	m	1	B	O	O
8	m	8	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
、	x	、	S	O	O
B	eng	B	B	O	O
P	eng	P	I	O	O
1	eng	1	I	O	O
3	eng	3	I	O	O
0	eng	0	E	O	O
/	x	/	S	O	O
8	m	8	B	O	O
0	m	0	E	O	O

m	eng	m	B	O	O
m	eng	m	I	O	O
H	eng	H	I	O	O
g	eng	g	E	O	O
，	x	，	S	O	O
体	n	ti	B	O	O
型	n	xing	E	O	O
偏	a	pian	B	O	O
瘦	a	shou	E	O	O
，	x	，	S	O	O
神	n	shen	B	O	O
志	n	zhi	E	O	O
清	a	qing	B	O	O
楚	a	chu	E	O	O
，	x	，	S	O	O
语	n	yu	B	O	O
言	n	yan	E	O	O
流	n	liu	B	O	O
利	n	li	E	O	O
，	x	，	S	O	O
表	n	biao	B	O	O
情	n	qing	E	O	O
自	d	zi	B	O	O
然	d	ran	E	O	O
，	x	，	S	O	O
步	n	bu	B	O	O
入	n	ru	E	O	O
病	n	bing	B	O	O
室	n	shi	E	O	O
，	x	，	S	O	O
自	vn	zi	B	O	O
动	vn	dong	E	O	O
体	n	ti	B	O	O
位	n	wei	E	O	O
，	x	，	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
合	vn	he	B	O	O
作	vn	zuo	E	O	O
。	x	。	S	O	O
心	n	xin	B	O	O
肺	n	fei	E	O	O
腹	n	fu	S	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
腹	n	fu	S	O	O
平	a	ping	B	O	O
坦	a	tan	E	O	O
，	x	，	S	O	O
肝	n	gan	S	O	O
脾	n	pi	S	O	O
肋	n	lei	S	O	O
下	f	xia	S	O	O
未	v	wei	B	O	O
及	v	ji	E	O	O
，	x	，	S	O	O
全	n	quan	B	O	O
腹	n	fu	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
包	n	bao	B	O	O
块	n	kuai	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
反	v	fan	B	O	O
跳	v	tiao	E	O	O
痛	v	tong	B	O	O
及	v	ji	E	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
。	x	。	S	O	O
腹	ng	fu	S	O	O
叩	vg	kou	S	O	O
移	n	yi	B	O	O
动	n	dong	I	O	O
性	n	xing	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
；	x	；	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
高	n	gao	B	O	O
调	n	diao	E	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
及	c	ji	B	O	O
气	n	qi	E	O	O
过	ug	guo	S	O	O
水	n	shui	B	O	O
声	n	sheng	E	O	O
。	x	。	S	O	O
脊	n	ji	B	O	O
柱	n	zhu	E	O	O
生	vn	sheng	B	O	O
理	vn	li	E	O	O
弯	v	wan	B	O	O
曲	v	qu	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
侧	v	ce	B	O	O
弯	v	wan	E	O	O
及	c	ji	B	O	O
后	c	hou	E	SB	O
突	ad	tu	S	SI	O
畸	n	ji	B	SI	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
各	r	ge	S	O	O
椎	n	zhui	B	O	O
体	n	ti	E	O	O
棘	n	ji	B	O	O
突	n	tu	E	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
及	c	ji	S	O	O
叩	v	kou	B	O	O
击	v	ji	E	O	O
痛	a	tong	S	O	O
。	x	。	S	O	O
脊	l	ji	S	O	O
肋	l	lei	B	O	O
角	l	jiao	E	O	O
无	l	wu	S	O	O
隆	v	long	B	SB	SB
起	v	qi	E	SE	SE
，	x	，	S	O	O
双	m	shuang	S	O	O
肾	n	shen	B	O	O
区	n	qu	E	O	O
叩	v	kou	B	O	O
击	v	ji	E	O	O
痛	a	tong	S	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
肛	n	gang	B	O	O
门	n	men	E	O	O
外	f	wai	S	O	O
生	vn	sheng	B	O	O
殖	vn	zhi	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
。	x	。	S	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
各	r	ge	S	O	O
关	n	guan	B	O	O
节	n	jie	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
；	x	；	S	O	O
肌	n	ji	B	O	O
力	n	li	E	O	O
肌	n	ji	S	O	O
张	n	zhang	B	O	O
力	n	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
；	x	；	S	O	O
肱	n	gong	S	O	O
二	n	er	S	O	O
、	x	、	S	O	O
三	m	san	S	O	O
肌	n	ji	B	O	O
腱	n	jian	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
，	x	，	S	O	O
跟	p	gen	S	O	O
膝	n	xi	B	O	O
腱	n	jian	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
存	v	cun	B	O	O
在	v	zai	E	O	O
，	x	，	S	O	O
巴	nr	ba	B	O	O
氏	nr	shi	E	O	O
等	u	deng	S	O	O
病	n	bing	B	O	O
理	n	li	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
征	v	zheng	B	O	O
未	t	wei	E	O	O
引	v	yin	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
右	f	you	S	O	O
腹	n	fu	B	O	O
股	n	gu	I	O	O
沟	n	gou	E	O	O
部	q	bu	B	O	O
无	v	wu	E	O	O
包	n	bao	B	SB	SB
块	n	kuai	E	SE	SE
，	x	，	S	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
愈	v	yu	B	O	O
合	v	he	E	O	O
良	a	liang	B	O	O
好	a	hao	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
渗	v	shen	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
睾	n	gao	B	O	O
丸	n	wan	E	O	O
无	v	wu	B	O	O
缺	v	que	E	O	O
如	v	ru	S	O	O
，	x	，	S	O	O
大	b	da	B	O	O
小	b	xiao	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
窗	n	chuang	B	O	O
体	n	ti	E	O	O
底	f	di	S	O	O

窗	n	chuang	B	O	O
体	n	ti	E	O	O
底	f	di	B	O	O
端	f	duan	E	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
神	n	shen	B	O	O
志	n	zhi	E	O	O
清	t	qing	S	O	O
，	x	，	S	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
，	x	，	S	O	O
睡	v	shui	B	O	O
眠	v	mian	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
二	m	er	B	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
诉	n	su	B	O	O
右	f	you	E	O	O
中	j	zhong	B	O	O
指	j	zhi	E	O	O
胀	v	zhang	B	SB	SB
痛	v	tong	E	SE	SE
不	a	bu	B	O	O
适	a	shi	E	O	O
较	d	jiao	B	O	O
前	f	qian	E	O	O
好	v	hao	B	O	O
转	v	zhuan	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SI	SI
呕	v	ou	B	SI	SI
吐	v	tu	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	SB	SB
痛	n	tong	E	SE	SI
腹	v	fu	B	SB	SI
泻	v	xie	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
胸	n	xiong	B	SB	SB
闷	n	men	E	SI	SI
气	n	qi	B	SI	SI
短	n	duan	E	SE	SE
及	c	ji	S	O	O
呼	l	hu	B	SB	O
吸	l	xi	I	SI	O
困	l	kun	I	SI	O
难	l	nan	E	SE	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
各	r	ge	B	O	O
项	r	xiang	E	O	O
生	vn	sheng	B	O	O
命	vn	ming	E	O	O
体	n	ti	B	O	O
征	n	zheng	E	O	O
平	a	ping	B	O	O
稳	a	wen	E	O	O
。	x	。	S	O	O
心	n	xin	B	O	O
肺	n	fei	E	O	O
腹	n	fu	B	O	O
查	n	cha	I	O	O
体	n	ti	E	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
异	zg	yi	S	O	O
。	x	。	S	O	O
脊	n	ji	B	O	O
柱	n	zhu	E	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
。	x	。	S	O	O
双	n	shuang	B	O	O
下	n	xia	I	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
水	n	shui	B	SB	SB
肿	n	zhong	E	SE	SE
，	x	，	S	O	O
右	n	you	B	O	O
手	n	shou	E	O	O
中	j	zhong	B	O	O
指	j	zhi	E	O	O
末	t	mo	B	O	O
节	t	jie	E	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
。	x	。	S	O	O
指	n	zhi	B	O	O
骨	n	gu	E	O	O
末	f	mo	B	O	O
端	f	duan	E	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
叩	v	kou	B	O	O
击	v	ji	E	O	O
痛	a	tong	B	O	O
阳	n	yang	E	O	O
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
骨	n	gu	B	O	O
擦	n	ca	I	O	O
感	n	gan	E	O	O
。	x	。	S	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
感	n	gan	B	O	O
觉	n	jue	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
肌	n	ji	B	O	O
力	n	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
肌	n	ji	S	O	O
张	n	zhang	B	O	O
力	n	li	E	O	O
不	d	bu	B	O	O
高	a	gao	E	O	O
。	x	。	S	O	O
各	r	ge	S	O	O
足	n	zu	B	O	O
趾	n	zhi	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
功	n	gong	B	O	O
能	n	neng	E	O	O
无	b	wu	B	O	O
障	b	zhang	I	O	O
碍	b	ai	E	O	O
，	x	，	S	O	O
足	a	zu	S	O	O
背	v	bei	S	O	O
伸	v	shen	B	O	O
力	v	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
末	n	mo	B	O	O
梢	n	shao	E	O	O
血	n	xie	B	O	O
运	n	yun	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	n	ce	E	O	O
肱	n	gong	S	O	O
二	m	er	S	O	O
、	x	、	S	O	O
三	m	san	B	O	O
头	m	tou	E	O	O
肌	n	ji	S	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
、	x	、	S	O	O
膝	n	xi	B	O	O
腱	n	jian	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	nz	ce	E	O	O
巴	nz	ba	B	O	O
彬	nz	bin	E	O	O
斯	nr	si	B	O	O
基	nr	ji	I	O	O
氏	nr	shi	E	O	O
征	v	zheng	S	O	O
、	x	、	S	O	O
克	m	ke	S	O	O
尼	nrt	ni	B	O	O
格	nrt	ge	E	O	O
氏	n	shi	B	O	O
征	n	zheng	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
诉	vn	su	S	O	O
腰	n	yao	B	O	O
部	n	bu	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
，	x	，	S	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
、	x	、	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
差	a	cha	S	O	O
，	x	，	S	O	O
睡	v	shui	B	O	O
眠	v	mian	E	O	O
差	a	cha	S	O	O
，	x	，	S	O	O
便	a	bian	B	O	O
秘	a	mi	E	O	O
，	x	，	S	O	O
导	n	dao	B	O	O
尿	n	niao	I	O	O
管	n	guan	E	O	O
导	v	dao	B	O	O
尿	v	niao	E	O	O
通	a	tong	B	O	O
畅	a	chang	E	O	O
，	x	，	S	O	O
尿	n	niao	B	O	O
色	n	se	E	O	O
淡	z	dan	B	O	O
黄	z	huang	E	O	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
一	a	yi	B	O	O
般	a	ban	E	O	O
情	n	qing	B	O	O
况	n	kuang	E	O	O
差	a	cha	S	O	O
，	x	，	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
五	n	wu	B	O	O
官	n	guan	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
颈	ng	jing	B	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
抵	vn	di	B	O	O
抗	vn	kang	E	O	O
，	x	，	S	O	O
颈	n	jing	B	O	O
部	n	bu	E	O	O
及	c	ji	S	O	O
锁	n	suo	B	O	O
骨	n	gu	E	O	O
上	f	shang	S	O	O
可	v	ke	S	O	O
