b	b	O	O
切	qie	O	O
口	kou	O	O
甲	jia	O	O
级	ji	O	O
愈	yu	O	O
合	he	O	O
。	。	O	O

查	cha	O	O
体	ti	O	O
：	：	O	O
T	T	O	O
：	：	O	O
3	3	O	O
6	6	O	O
.	.	O	O
5	5	O	O
℃	℃	O	O
、	、	O	O
P	P	O	O
：	：	O	O
7	7	O	O
8	8	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
、	、	O	O
R	R	O	O
：	：	O	O
1	1	O	O
8	8	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
、	、	O	O
B	B	O	O
P	P	O	O
1	1	O	O
3	3	O	O
0	0	O	O
/	/	O	O
8	8	O	O
0	0	O	O

m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
，	，	O	O
体	ti	O	O
型	xing	O	O
偏	pian	O	O
瘦	shou	O	O
，	，	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
楚	chu	O	O
，	，	O	O
语	yu	O	O
言	yan	O	O
流	liu	O	O
利	li	O	O
，	，	O	O
表	biao	O	O
情	qing	O	O
自	zi	O	O
然	ran	O	O
，	，	O	O
步	bu	O	O
入	ru	O	O
病	bing	O	O
室	shi	O	O
，	，	O	O
自	zi	O	O
动	dong	O	O
体	ti	O	O
位	wei	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
心	xin	O	O
肺	fei	O	O
腹	fu	O	O
阴	yin	O	O
性	xing	O	O
，	，	O	O
腹	fu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
肝	gan	O	O
脾	pi	O	O
肋	lei	O	O
下	xia	O	O
未	wei	O	O
及	ji	O	O
，	，	O	O
全	quan	O	O
腹	fu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
异	yi	O	O
常	chang	O	O
包	bao	O	O
块	kuai	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腹	fu	O	O
叩	kou	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
；	；	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
高	gao	O	O
调	diao	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
及	ji	O	O
气	qi	O	O
过	guo	O	O
水	shui	O	O
声	sheng	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
生	sheng	O	O
理	li	O	O
弯	wan	O	O
曲	qu	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
侧	ce	O	O
弯	wan	O	O
及	ji	O	O
后	hou	SB	O
突	tu	SI	O
畸	ji	SI	SB
形	xing	SE	SE
，	，	O	O
各	ge	O	O
椎	zhui	O	O
体	ti	O	O
棘	ji	O	O
突	tu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
及	ji	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
。	。	O	O
脊	ji	O	O
肋	lei	O	O
角	jiao	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
双	shuang	O	O
肾	shen	O	O
区	qu	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肛	gang	O	O
门	men	O	O
外	wai	O	O
生	sheng	O	O
殖	zhi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
。	。	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
各	ge	O	O
关	guan	O	O
节	jie	O	O
活	huo	O	O
动	dong	O	O
正	zheng	O	O
常	chang	O	O
；	；	O	O
肌	ji	O	O
力	li	O	O
肌	ji	O	O
张	zhang	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
；	；	O	O
肱	gong	O	O
二	er	O	O
、	、	O	O
三	san	O	O
肌	ji	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
，	，	O	O
跟	gen	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
存	cun	O	O
在	zai	O	O
，	，	O	O
巴	ba	O	O
氏	shi	O	O
等	deng	O	O
病	bing	O	O
理	li	O	O
反	fan	O	O
射	she	O	O
征	zheng	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
。	。	O	O
右	you	O	O
腹	fu	O	O
股	gu	O	O
沟	gou	O	O
部	bu	O	O
无	wu	O	O
包	bao	SB	SB
块	kuai	SE	SE
，	，	O	O
局	ju	O	O
部	bu	O	O
切	qie	O	O
口	kou	O	O
愈	yu	O	O
合	he	O	O
良	liang	O	O
好	hao	O	O
，	，	O	O
无	wu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
渗	shen	O	O
出	chu	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
睾	gao	O	O
丸	wan	O	O
无	wu	O	O
缺	que	O	O
如	ru	O	O
，	，	O	O
大	da	O	O
小	xiao	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
窗	chuang	O	O
体	ti	O	O
底	di	O	O

窗	chuang	O	O
体	ti	O	O
底	di	O	O
端	duan	O	O

患	huan	O	O
者	zhe	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
可	ke	O	O
，	，	O	O
饮	yin	O	O
食	shi	O	O
，	，	O	O
睡	shui	O	O
眠	mian	O	O
可	ke	O	O
，	，	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
诉	su	O	O
右	you	O	O
中	zhong	O	O
指	zhi	O	O
胀	zhang	SB	SB
痛	tong	SE	SE
不	bu	O	O
适	shi	O	O
较	jiao	O	O
前	qian	O	O
好	hao	O	O
转	zhuan	O	O
。	。	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
无	wu	O	O
恶	e	SB	SB
心	xin	SI	SI
呕	ou	SI	SI
吐	tu	SE	SE
，	，	O	O
无	wu	O	O
腹	fu	SB	SB
痛	tong	SE	SE
腹	fu	SB	SB
泻	xie	SE	SE
，	，	O	O
无	wu	O	O
胸	xiong	SB	SB
闷	men	SI	SI
气	qi	SI	SI
短	duan	SE	SE
及	ji	O	O
呼	hu	SB	O
吸	xi	SI	O
困	kun	SI	O
难	nan	SE	O
。	。	O	O
查	cha	O	O
体	ti	O	O
各	ge	O	O
项	xiang	O	O
生	sheng	O	O
命	ming	O	O
体	ti	O	O
征	zheng	O	O
平	ping	O	O
稳	wen	O	O
。	。	O	O
心	xin	O	O
肺	fei	O	O
腹	fu	O	O
查	cha	O	O
体	ti	O	O
未	wei	O	O
见	jian	O	O
明	ming	O	O
显	xian	O	O
异	yi	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
。	。	O	O
双	shuang	O	O
下	xia	O	O
肢	zhi	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
，	，	O	O
右	you	O	O
手	shou	O	O
中	zhong	O	O
指	zhi	O	O
末	mo	O	O
节	jie	O	O
局	ju	O	O
部	bu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
。	。	O	O
指	zhi	O	O
骨	gu	O	O
末	mo	O	O
端	duan	O	O
局	ju	O	O
部	bu	O	O
压	ya	O	O
痛	tong	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
阳	yang	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
骨	gu	O	O
擦	ca	O	O
感	gan	O	O
。	。	O	O
四	si	O	O
肢	zhi	O	O
皮	pi	O	O
肤	fu	O	O
感	gan	O	O
觉	jue	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
肌	ji	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
肌	ji	O	O
张	zhang	O	O
力	li	O	O
不	bu	O	O
高	gao	O	O
。	。	O	O
各	ge	O	O
足	zu	O	O
趾	zhi	O	O
活	huo	O	O
动	dong	O	O
功	gong	O	O
能	neng	O	O
无	wu	O	O
障	zhang	O	O
碍	ai	O	O
，	，	O	O
足	zu	O	O
背	bei	O	O
伸	shen	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
末	mo	O	O
梢	shao	O	O
血	xie	O	O
运	yun	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肱	gong	O	O
二	er	O	O
、	、	O	O
三	san	O	O
头	tou	O	O
肌	ji	O	O
反	fan	O	O
射	she	O	O
、	、	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
巴	ba	O	O
彬	bin	O	O
斯	si	O	O
基	ji	O	O
氏	shi	O	O
征	zheng	O	O
、	、	O	O
克	ke	O	O
尼	ni	O	O
格	ge	O	O
氏	shi	O	O
征	zheng	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
诉	su	O	O
腰	yao	O	O
部	bu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
精	jing	O	O
神	shen	O	O
、	、	O	O
饮	yin	O	O
食	shi	O	O
差	cha	O	O
，	，	O	O
睡	shui	O	O
眠	mian	O	O
差	cha	O	O
，	，	O	O
便	bian	O	O
秘	mi	O	O
，	，	O	O
导	dao	O	O
尿	niao	O	O
管	guan	O	O
导	dao	O	O
尿	niao	O	O
通	tong	O	O
畅	chang	O	O
，	，	O	O
尿	niao	O	O
色	se	O	O
淡	dan	O	O
黄	huang	O	O
。	。	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
一	yi	O	O
般	ban	O	O
情	qing	O	O
况	kuang	O	O
差	cha	O	O
，	，	O	O
头	tou	O	O
颅	lu	O	O
五	wu	O	O
官	guan	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
颈	jing	O	O
软	ruan	O	O
，	，	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
，	，	O	O
颈	jing	O	O
部	bu	O	O
及	ji	O	O
锁	suo	O	O
骨	gu	O	O
上	shang	O	O
可	ke	O	O
扪	men	O	O
及	ji	O	O
肿	zhong	SB	SB
大	da	SE	SE
的	de	O	O
淋	lin	O	O
巴	ba	O	O
结	jie	O	O
，	，	O	O
质	zhi	O	O
硬	ying	O	O
，	，	O	O
活	huo	O	O
动	dong	O	O
差	cha	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
胸	xiong	O	O
廓	kuo	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
呼	hu	O	O
吸	xi	O	O
动	dong	O	O
度	du	O	O
两	liang	O	O
侧	ce	O	O
均	jun	O	O
匀	yun	O	O
等	deng	O	O
，	，	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
双	shuang	O	O
侧	ce	O	O
语	yu	O	O
颤	zhan	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
皮	pi	O	O
下	xia	O	O
捻	nian	O	O
发	fa	O	O
音	yin	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
扣	kou	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
肺	fei	O	O
肝	gan	O	O
相	xiang	O	O
对	dui	O	O
浊	zhuo	O	O
音	yin	O	O
界	jie	O	O
位	wei	O	O
于	yu	O	O
右	you	O	O
侧	ce	O	O
锁	suo	O	O
骨	gu	O	O
中	zhong	O	O
线	xian	O	O
第	di	O	O
5	5	O	O
肋	lei	O	O
间	jian	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
前	qian	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
震	zhen	O	O
颤	zhan	O	O
，	，	O	O
叩	kou	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
9	9	O	O
2	2	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	SB	SB
脉	mai	SI	SI
曲	qu	SI	SI
张	zhang	SE	SE
。	。	O	O
腹	fu	O	O
部	bu	O	O
部	bu	O	O
分	fen	O	O
皮	pi	O	O
肤	fu	O	O
溃	kui	SB	O
破	po	SE	O
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
肝	gan	O	O
脾	pi	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
大	da	SE	SE
，	，	O	O
下	xia	O	O
腹	fu	O	O
部	bu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	SB	O
块	kuai	SE	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
，	，	O	O
肛	gang	O	O
门	men	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
，	，	O	O
脊	ji	O	O
柱	zhu	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
腰	yao	O	O
部	bu	O	O
以	yi	O	O
下	xia	O	O
感	gan	O	O
觉	jue	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
全	quan	O	O
部	bu	O	O
丧	sang	O	O
失	shi	O	O
活	huo	O	O
动	dong	O	O
能	neng	O	O
力	li	O	O
，	，	O	O
双	shuang	O	O
下	xia	O	O
肢	zhi	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肱	gong	O	O
二	er	O	O
、	、	O	O
三	san	O	O
头	tou	O	O
肌	ji	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
、	、	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
巴	ba	O	O
彬	bin	O	O
斯	si	O	O
基	ji	O	O
氏	shi	O	O
征	zheng	O	O
、	、	O	O
克	ke	O	O
尼	ni	O	O
格	ge	O	O
氏	shi	O	O
征	zheng	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
双	shuang	O	O
肾	shen	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
走	zou	O	O
行	xing	O	O
区	qu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
、	、	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
。	。	O	O
耻	chi	O	O
骨	gu	O	O
上	shang	O	O
膀	bang	O	O
胱	guang	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
未	wei	O	O
诉	su	O	O
不	bu	O	O
适	shi	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
饮	yin	O	O
食	shi	O	O
睡	shui	O	O
眠	mian	O	O
可	ke	O	O
，	，	O	O
大	da	O	O
小	xiao	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
楚	chu	O	O
，	，	O	O
问	wen	O	O
答	da	O	O
切	qie	O	O
题	ti	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
前	qian	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
震	zhen	O	O
颤	zhan	O	O
，	，	O	O
叩	kou	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
6	6	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	SB	SB
脉	mai	SI	SI
曲	qu	SI	SI
张	zhang	SE	SE
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
肝	gan	O	O
脾	pi	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
大	da	SE	SE
，	，	O	O
腹	fu	O	O
部	bu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	SB	O
块	kuai	SE	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
（	（	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
）	）	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肋	lei	O	O
脊	ji	O	O
角	jiao	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
双	shuang	O	O
肾	shen	O	O
区	qu	O	O
无	wu	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
块	kuai	SE	SE
。	。	O	O
右	you	O	O
腹	fu	O	O
部	bu	O	O
沿	yan	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
走	zou	O	O
行	xing	O	O
区	qu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
左	zuo	O	O
腹	fu	O	O
部	bu	O	O
沿	yan	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
走	zou	O	O
行	xing	O	O
区	qu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
耻	chi	O	O
骨	gu	O	O
上	shang	O	O
膀	bang	O	O
胱	guang	O	O
区	qu	O	O
无	wu	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
外	wai	O	O
阴	yin	O	O
为	wei	O	O
成	cheng	O	O
人	ren	O	O
型	xing	O	O
，	，	O	O
尿	niao	O	O
道	dao	O	O
外	wai	O	O
口	kou	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
无	wu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
及	ji	O	O
狭	xia	SB	SB
窄	zhai	SE	SE
，	，	O	O
无	wu	O	O
异	yi	O	O
常	chang	O	O
分	fen	O	O
泌	mi	O	O
物	wu	O	O
。	。	O	O
肾	shen	O	O
上	shang	O	O
腺	xian	O	O
C	C	O	O
T	T	O	O
检	jian	O	O
查	cha	O	O
回	hui	O	O
报	bao	O	O
：	：	O	O
左	zuo	O	O
侧	ce	O	O
肾	shen	O	O
上	shang	O	O
腺	xian	O	O
类	lei	O	O
圆	yuan	O	O
形	xing	O	O
低	di	O	O
密	mi	O	O
度	du	O	O
影	ying	O	O
，	，	O	O
考	kao	O	O
虑	lv	O	O
肾	shen	DB	O
上	shang	DI	O
腺	xian	DI	O
腺	xian	DI	O
瘤	liu	DE	O
。	。	O	O
程	cheng	O	O
德	de	O	O
敏	min	O	O
主	zhu	O	O
任	ren	O	O
医	yi	O	O
师	shi	O	O
查	cha	O	O
房	fang	O	O
后	hou	O	O
指	zhi	O	O
示	shi	O	O
：	：	O	O
患	huan	O	O
者	zhe	O	O
高	gao	O	DB
血	xie	O	DI
压	ya	O	DE
症	zheng	O	O
状	zhuang	O	O
可	ke	O	O
能	neng	O	O
与	yu	O	O
左	zuo	O	O
侧	ce	O	O
肾	shen	O	O
上	shang	O	O
腺	xian	O	O
瘤	liu	O	O
压	ya	O	O
迫	po	O	O
有	you	O	O
关	guan	O	O
，	，	O	O
建	jian	O	O
议	yi	O	O
患	huan	O	O
者	zhe	O	O
进	jin	O	O
行	xing	O	O
进	jin	O	O
一	yi	O	O
步	bu	O	O
检	jian	O	O
查	cha	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
及	ji	O	O
家	jia	O	O
属	shu	O	O
要	yao	O	O
求	qiu	O	O
先	xian	O	O
行	xing	O	O
出	chu	O	O
院	yuan	O	O
，	，	O	O
待	dai	O	O
下	xia	O	O
次	ci	O	O
复	fu	O	O
查	cha	O	O
时	shi	O	O
再	zai	O	O
进	jin	O	O
行	xing	O	O
肾	shen	O	O
上	shang	O	O
腺	xian	O	O
的	de	O	O
详	xiang	O	O
细	xi	O	O
检	jian	O	O
查	cha	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
精	jing	O	O
神	shen	O	O
尚	shang	O	O
可	ke	O	O
，	，	O	O
饮	yin	O	O
食	shi	O	O
、	、	O	O
睡	shui	O	O
眠	mian	O	O
可	ke	O	O
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
肛	gang	O	O
门	men	O	O
无	wu	O	O
出	chu	SB	SB
血	xie	SE	SE
，	，	O	O
无	wu	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
无	wu	O	O
痔	zhi	O	O
核	he	O	O
脱	tuo	O	O
出	chu	O	O
。	。	O	O
局	ju	O	O
部	bu	O	O
创	chuang	O	O
面	mian	O	O
愈	yu	O	O
合	he	O	O
良	liang	O	O
好	hao	O	O
，	，	O	O
无	wu	O	O
活	huo	O	O
动	dong	O	O
性	xing	O	O
出	chu	O	O
血	xie	O	O
。	。	O	O
心	xin	O	O
肺	fei	O	O
腹	fu	O	O
阴	yin	O	O
性	xing	O	O
，	，	O	O
腹	fu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
全	quan	O	O
腹	fu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
，	，	O	O
莫	mo	O	O
菲	fei	O	O
氏	shi	O	O
征	zheng	O	O
阴	yin	O	O
性	xing	O	O
，	，	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
神	shen	O	O
经	jing	O	O
系	xi	O	O
统	tong	O	O
检	jian	O	O
查	cha	O	O
未	wei	O	O
见	jian	O	O
病	bing	O	O
理	li	O	O
征	zheng	O	O
，	，	O	O
肛	gang	O	O
门	men	O	O
截	jie	O	O
石	shi	O	O
位	wei	O	O
大	da	O	O
约	yue	O	O
5	5	O	O
点	dian	O	O
见	jian	O	O
手	shou	O	O
术	shu	O	O
切	qie	O	O
口	kou	O	O
，	，	O	O
无	wu	O	O
脓	nong	O	O
性	xing	O	O
渗	shen	O	O
出	chu	O	O
，	，	O	O
创	chuang	O	O
面	mian	O	O
新	xin	O	O
鲜	xian	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
要	yao	O	O
求	qiu	O	O
出	chu	O	O
院	yuan	O	O
。	。	O	O
请	qing	O	O
示	shi	O	O
王	wang	O	O
济	ji	O	O
兴	xing	O	O
副	fu	O	O
主	zhu	O	O
任	ren	O	O
医	yi	O	O
师	shi	O	O
同	tong	O	O
意	yi	O	O
，	，	O	O
准	zhun	O	O
予	yu	O	O
出	chu	O	O
院	yuan	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
神	shen	O	O
清	qing	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
可	ke	O	O
。	。	O	O
无	wu	O	O
腹	fu	SB	SB
胀	zhang	SE	SI
腹	fu	SB	SI
痛	tong	SE	SE
，	，	O	O
无	wu	O	O
恶	e	SB	SB
心	xin	SI	SI
呕	ou	SI	SI
吐	tu	SE	SE
。	。	O	O
发	fa	SB	SB
热	re	SE	SE
