b	b	B	O	O
敷	fu	B	O	O
料	liao	E	O	O
包	bao	B	O	O
扎	zha	E	O	O
固	gu	B	O	O
定	ding	E	O	O
好	hao	S	O	O
，	，	S	O	O
无	wu	S	O	O
渗	shen	B	O	O
出	chu	E	O	O
，	，	S	O	O
双	shuang	B	O	O
眼	yan	E	O	O
瞳	tong	B	O	O
孔	kong	E	O	O
对	dui	S	O	O
光	guang	B	O	O
反	fan	I	O	O
射	she	E	O	O
灵	ling	B	O	O
敏	min	E	O	O
，	，	S	O	O
心	xin	B	O	O
肺	fei	E	O	O
腹	fu	S	O	O
听	ting	B	O	O
诊	zhen	E	O	O
未	wei	B	O	O
见	jian	E	O	O
明	ming	B	O	O
显	xian	E	O	O
异	yi	B	O	O
常	chang	E	O	O
，	，	S	O	O
四	si	B	O	O
肢	zhi	E	O	O
活	huo	B	O	O
动	dong	E	O	O
无	wu	S	O	O
异	yi	B	O	O
常	chang	E	O	O
，	，	S	O	O
病	bing	B	O	O
理	li	E	O	O
征	zheng	B	O	O
未	wei	E	O	O
引	yin	B	O	O
出	chu	E	O	O
。	。	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
病	bing	B	O	O
情	qing	E	O	O
好	hao	B	O	O
转	zhuan	E	O	O
，	，	S	O	O
要	yao	B	O	O
求	qiu	E	O	O
今	jin	B	O	O
日	ri	E	O	O
出	chu	B	O	O
院	yuan	E	O	O
。	。	S	O	O

今	jin	B	O	O
日	ri	E	O	O
查	cha	B	O	O
房	fang	E	O	O
，	，	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
不	bu	S	O	O
在	zai	S	O	O
，	，	S	O	O
电	dian	B	O	O
话	hua	E	O	O
询	xun	B	O	O
问	wen	E	O	O
，	，	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
已	yi	S	O	O
自	zi	B	O	O
动	dong	E	O	O
离	li	B	O	O
开	kai	E	O	O
医	yi	B	O	O
院	yuan	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
精	jing	B	O	O
神	shen	E	O	O
可	ke	S	O	O
，	，	S	O	O
诉	su	S	O	O
切	qie	B	O	O
口	kou	E	O	O
无	wu	S	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
声	sheng	B	SB	O
音	yin	E	SI	O
嘶	si	B	SI	O
哑	ya	E	SE	O
，	，	S	O	O
无	wu	S	O	O
饮	yin	B	O	O
水	shui	E	O	O
呛	qiang	B	O	O
咳	ke	E	O	O
，	，	S	O	O
无	wu	S	O	O
心	xin	B	SB	SB
慌	huang	E	SE	SE
。	。	S	O	O
切	qie	B	O	O
口	kou	E	O	O
纱	sha	B	O	O
布	bu	E	O	O
干	gan	B	O	O
燥	zao	E	O	O
固	gu	B	O	O
定	ding	E	O	O
无	wu	S	O	O
渗	shen	B	O	O
出	chu	E	O	O
。	。	S	O	O
二	er	B	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
T	T	S	O	O
：	：	S	O	O
3	3	B	O	O
6	6	I	O	O
.	.	I	O	O
3	3	E	O	O
C	C	S	O	O
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
瞳	tong	B	O	O
孔	kong	E	O	O
正	zheng	B	O	O
大	da	E	O	O
等	deng	S	O	O
圆	yuan	S	O	O
，	，	S	O	O
对	dui	S	O	O
光	guang	B	O	O
反	fan	I	O	O
射	she	E	O	O
灵	ling	B	O	O
敏	min	E	O	O
。	。	S	O	O
颈	jing	B	O	O
软	ruan	E	O	O
，	，	S	O	O
无	wu	S	O	O
抵	di	B	O	O
抗	kang	E	O	O
。	。	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	S	O	O
清	qing	B	O	O
晰	xi	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	S	O	O
啰	luo	S	O	O
音	yin	S	O	O
。	。	S	O	O
心	xin	B	O	O
率	lv	E	O	O
7	7	B	O	O
4	4	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
无	wu	S	O	O
杂	za	B	O	O
音	yin	E	O	O
。	。	S	O	O
腹	fu	B	O	O
平	ping	I	O	O
软	ruan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
肠	chang	B	O	O
型	xing	E	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
反	fan	B	O	O
跳	tiao	E	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
，	，	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
四	si	B	O	O
肢	zhi	E	O	O
活	huo	B	O	O
动	dong	E	O	O
自	zi	B	O	O
如	ru	E	O	O
，	，	S	O	O
生	sheng	B	O	O
理	li	E	O	O
反	fan	B	O	O
射	she	E	O	O
存	cun	B	O	O
在	zai	E	O	O
，	，	S	O	O
病	bing	B	O	O
理	li	E	O	O
反	fan	B	O	O
射	she	E	O	O
未	wei	S	O	O
引	yin	B	O	O
出	chu	E	O	O
。	。	S	O	O
切	qie	B	O	O
口	kou	E	O	O
已	yi	S	O	O
拆	chai	B	O	O
线	xian	E	O	O
，	，	S	O	O
切	qie	B	O	O
口	kou	E	O	O
甲	jia	B	O	O
级	ji	E	O	O
愈	yu	B	O	O
合	he	E	O	O
。	。	S	O	O

查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
T	T	S	O	O
：	：	S	O	O
3	3	B	O	O
6	6	I	O	O
.	.	I	O	O
5	5	E	O	O
℃	℃	S	O	O
、	、	S	O	O
P	P	S	O	O
：	：	S	O	O
7	7	B	O	O
8	8	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
、	、	S	O	O
R	R	S	O	O
：	：	S	O	O
1	1	B	O	O
8	8	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
、	、	S	O	O
B	B	B	O	O
P	P	I	O	O
1	1	I	O	O
3	3	I	O	O
0	0	E	O	O
/	/	S	O	O
8	8	B	O	O
0	0	E	O	O

m	m	B	O	O
m	m	I	O	O
H	H	I	O	O
g	g	E	O	O
，	，	S	O	O
体	ti	B	O	O
型	xing	E	O	O
偏	pian	B	O	O
瘦	shou	E	O	O
，	，	S	O	O
神	shen	B	O	O
志	zhi	E	O	O
清	qing	B	O	O
楚	chu	E	O	O
，	，	S	O	O
语	yu	B	O	O
言	yan	E	O	O
流	liu	B	O	O
利	li	E	O	O
，	，	S	O	O
表	biao	B	O	O
情	qing	E	O	O
自	zi	B	O	O
然	ran	E	O	O
，	，	S	O	O
步	bu	B	O	O
入	ru	E	O	O
病	bing	B	O	O
室	shi	E	O	O
，	，	S	O	O
自	zi	B	O	O
动	dong	E	O	O
体	ti	B	O	O
位	wei	E	O	O
，	，	S	O	O
查	cha	B	O	O
体	ti	E	O	O
合	he	B	O	O
作	zuo	E	O	O
。	。	S	O	O
心	xin	B	O	O
肺	fei	E	O	O
腹	fu	S	O	O
阴	yin	B	O	O
性	xing	E	O	O
，	，	S	O	O
腹	fu	S	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
肝	gan	S	O	O
脾	pi	S	O	O
肋	lei	S	O	O
下	xia	S	O	O
未	wei	B	O	O
及	ji	E	O	O
，	，	S	O	O
全	quan	B	O	O
腹	fu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
异	yi	B	O	O
常	chang	E	O	O
包	bao	B	O	O
块	kuai	E	O	O
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
反	fan	B	O	O
跳	tiao	E	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
腹	fu	S	O	O
叩	kou	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
；	；	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
高	gao	B	O	O
调	diao	E	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
及	ji	B	O	O
气	qi	E	O	O
过	guo	S	O	O
水	shui	B	O	O
声	sheng	E	O	O
。	。	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
生	sheng	B	O	O
理	li	E	O	O
弯	wan	B	O	O
曲	qu	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
侧	ce	B	O	O
弯	wan	E	O	O
及	ji	B	O	O
后	hou	E	SB	O
突	tu	S	SI	O
畸	ji	B	SI	SB
形	xing	E	SE	SE
，	，	S	O	O
各	ge	S	O	O
椎	zhui	B	O	O
体	ti	E	O	O
棘	ji	B	O	O
突	tu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
及	ji	S	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
。	。	S	O	O
脊	ji	S	O	O
肋	lei	B	O	O
角	jiao	E	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
双	shuang	S	O	O
肾	shen	B	O	O
区	qu	E	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
肛	gang	B	O	O
门	men	E	O	O
外	wai	S	O	O
生	sheng	B	O	O
殖	zhi	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
。	。	S	O	O
四	si	B	O	O
肢	zhi	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
各	ge	S	O	O
关	guan	B	O	O
节	jie	E	O	O
活	huo	B	O	O
动	dong	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
；	；	S	O	O
肌	ji	B	O	O
力	li	E	O	O
肌	ji	S	O	O
张	zhang	B	O	O
力	li	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
；	；	S	O	O
肱	gong	S	O	O
二	er	S	O	O
、	、	S	O	O
三	san	S	O	O
肌	ji	B	O	O
腱	jian	E	O	O
反	fan	B	O	O
射	she	E	O	O
，	，	S	O	O
跟	gen	S	O	O
膝	xi	B	O	O
腱	jian	E	O	O
反	fan	B	O	O
射	she	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
存	cun	B	O	O
在	zai	E	O	O
，	，	S	O	O
巴	ba	B	O	O
氏	shi	E	O	O
等	deng	S	O	O
病	bing	B	O	O
理	li	E	O	O
反	fan	B	O	O
射	she	E	O	O
征	zheng	B	O	O
未	wei	E	O	O
引	yin	B	O	O
出	chu	E	O	O
。	。	S	O	O
右	you	S	O	O
腹	fu	B	O	O
股	gu	I	O	O
沟	gou	E	O	O
部	bu	B	O	O
无	wu	E	O	O
包	bao	B	SB	SB
块	kuai	E	SE	SE
，	，	S	O	O
局	ju	B	O	O
部	bu	E	O	O
切	qie	B	O	O
口	kou	E	O	O
愈	yu	B	O	O
合	he	E	O	O
良	liang	B	O	O
好	hao	E	O	O
，	，	S	O	O
无	wu	S	O	O
红	hong	B	SB	SB
肿	zhong	E	SE	SE
渗	shen	B	O	O
出	chu	E	O	O
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
睾	gao	B	O	O
丸	wan	E	O	O
无	wu	B	O	O
缺	que	E	O	O
如	ru	S	O	O
，	，	S	O	O
大	da	B	O	O
小	xiao	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
窗	chuang	B	O	O
体	ti	E	O	O
底	di	S	O	O

窗	chuang	B	O	O
体	ti	E	O	O
底	di	B	O	O
端	duan	E	O	O

患	huan	B	O	O
者	zhe	E	O	O
神	shen	B	O	O
志	zhi	E	O	O
清	qing	S	O	O
，	，	S	O	O
精	jing	B	O	O
神	shen	E	O	O
可	ke	S	O	O
，	，	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
，	，	S	O	O
睡	shui	B	O	O
眠	mian	E	O	O
可	ke	S	O	O
，	，	S	O	O
二	er	B	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
诉	su	B	O	O
右	you	E	O	O
中	zhong	B	O	O
指	zhi	E	O	O
胀	zhang	B	SB	SB
痛	tong	E	SE	SE
不	bu	B	O	O
适	shi	E	O	O
较	jiao	B	O	O
前	qian	E	O	O
好	hao	B	O	O
转	zhuan	E	O	O
。	。	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
恶	e	B	SB	SB
心	xin	E	SI	SI
呕	ou	B	SI	SI
吐	tu	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	SB	SB
痛	tong	E	SE	SE
腹	fu	B	SB	SB
泻	xie	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
胸	xiong	B	SB	SB
闷	men	E	SI	SI
气	qi	B	SI	SI
短	duan	E	SE	SE
及	ji	S	O	O
呼	hu	B	SB	O
吸	xi	I	SI	O
困	kun	I	SI	O
难	nan	E	SE	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
各	ge	B	O	O
项	xiang	E	O	O
生	sheng	B	O	O
命	ming	E	O	O
体	ti	B	O	O
征	zheng	E	O	O
平	ping	B	O	O
稳	wen	E	O	O
。	。	S	O	O
心	xin	B	O	O
肺	fei	E	O	O
腹	fu	B	O	O
查	cha	I	O	O
体	ti	E	O	O
未	wei	B	O	O
见	jian	E	O	O
明	ming	B	O	O
显	xian	E	O	O
异	yi	S	O	O
。	。	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
四	si	B	O	O
肢	zhi	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
。	。	S	O	O
双	shuang	B	O	O
下	xia	I	O	O
肢	zhi	E	O	O
无	wu	S	O	O
水	shui	B	SB	SB
肿	zhong	E	SE	SE
，	，	S	O	O
右	you	B	O	O
手	shou	E	O	O
中	zhong	B	O	O
指	zhi	E	O	O
末	mo	B	O	O
节	jie	E	O	O
局	ju	B	O	O
部	bu	E	O	O
红	hong	B	SB	SB
肿	zhong	E	SE	SE
。	。	S	O	O
指	zhi	B	O	O
骨	gu	E	O	O
末	mo	B	O	O
端	duan	E	O	O
局	ju	B	O	O
部	bu	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	B	O	O
阳	yang	E	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
骨	gu	B	O	O
擦	ca	I	O	O
感	gan	E	O	O
。	。	S	O	O
四	si	B	O	O
肢	zhi	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
感	gan	B	O	O
觉	jue	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
肌	ji	B	O	O
力	li	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
肌	ji	S	O	O
张	zhang	B	O	O
力	li	E	O	O
不	bu	B	O	O
高	gao	E	O	O
。	。	S	O	O
各	ge	S	O	O
足	zu	B	O	O
趾	zhi	E	O	O
活	huo	B	O	O
动	dong	E	O	O
功	gong	B	O	O
能	neng	E	O	O
无	wu	B	O	O
障	zhang	I	O	O
碍	ai	E	O	O
，	，	S	O	O
足	zu	S	O	O
背	bei	S	O	O
伸	shen	B	O	O
力	li	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
末	mo	B	O	O
梢	shao	E	O	O
血	xie	B	O	O
运	yun	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肱	gong	S	O	O
二	er	S	O	O
、	、	S	O	O
三	san	B	O	O
头	tou	E	O	O
肌	ji	S	O	O
反	fan	B	O	O
射	she	E	O	O
、	、	S	O	O
膝	xi	B	O	O
腱	jian	E	O	O
反	fan	B	O	O
射	she	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
巴	ba	B	O	O
彬	bin	E	O	O
斯	si	B	O	O
基	ji	I	O	O
氏	shi	E	O	O
征	zheng	S	O	O
、	、	S	O	O
克	ke	S	O	O
尼	ni	B	O	O
格	ge	E	O	O
氏	shi	B	O	O
征	zheng	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
诉	su	S	O	O
腰	yao	B	O	O
部	bu	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
精	jing	B	O	O
神	shen	E	O	O
、	、	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
差	cha	S	O	O
，	，	S	O	O
睡	shui	B	O	O
眠	mian	E	O	O
差	cha	S	O	O
，	，	S	O	O
便	bian	B	O	O
秘	mi	E	O	O
，	，	S	O	O
导	dao	B	O	O
尿	niao	I	O	O
管	guan	E	O	O
导	dao	B	O	O
尿	niao	E	O	O
通	tong	B	O	O
畅	chang	E	O	O
，	，	S	O	O
尿	niao	B	O	O
色	se	E	O	O
淡	dan	B	O	O
黄	huang	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
一	yi	B	O	O
般	ban	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
差	cha	S	O	O
，	，	S	O	O
头	tou	B	O	O
颅	lu	E	O	O
五	wu	B	O	O
官	guan	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
颈	jing	B	O	O
软	ruan	E	O	O
，	，	S	O	O
无	wu	S	O	O
抵	di	B	O	O
抗	kang	E	O	O
，	，	S	O	O
颈	jing	B	O	O
部	bu	E	O	O
及	ji	S	O	O
锁	suo	B	O	O
骨	gu	E	O	O
上	shang	S	O	O
可	ke	S	O	O
扪	men	S	O	O
及	ji	S	O	O
肿	zhong	B	SB	SB
大	da	E	SE	SE
的	de	S	O	O
淋	lin	B	O	O
巴	ba	I	O	O
结	jie	E	O	O
，	，	S	O	O
质	zhi	B	O	O
硬	ying	E	O	O
，	，	S	O	O
活	huo	B	O	O
动	dong	E	O	O
差	cha	S	O	O
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
。	。	S	O	O
胸	xiong	B	O	O
廓	kuo	E	O	O
对	dui	B	O	O
称	cheng	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
呼	hu	B	O	O
吸	xi	E	O	O
动	dong	B	O	O
度	du	E	O	O
两	liang	B	O	O
侧	ce	E	O	O
均	jun	B	O	O
匀	yun	E	O	O
等	deng	S	O	O
，	，	S	O	O
无	wu	S	O	O
增	zeng	B	O	O
强	qiang	E	O	O
及	ji	S	O	O
减	jian	B	O	O
弱	ruo	E	O	O
双	shuang	B	O	O
侧	ce	E	O	O
语	yu	S	O	O
颤	zhan	S	O	O
无	wu	S	O	O
增	zeng	B	O	O
强	qiang	E	O	O
及	ji	S	O	O
减	jian	B	O	O
弱	ruo	E	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
皮	pi	B	O	O
下	xia	E	O	O
捻	nian	S	O	O
发	fa	B	O	O
音	yin	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
扣	kou	B	O	O
音	yin	E	O	O
清	qing	S	O	O
，	，	S	O	O
肺	fei	B	O	O
肝	gan	E	O	O
相	xiang	B	O	O
对	dui	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
界	jie	S	O	O
位	wei	B	O	O
于	yu	E	O	O
右	you	B	O	O
侧	ce	E	O	O
锁	suo	B	O	O
骨	gu	E	O	O
中	zhong	B	O	O
线	xian	E	O	O
第	di	S	O	O
5	5	S	O	O
肋	lei	B	O	O
间	jian	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	B	O	O
清	qing	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	B	O	O
罗	luo	I	O	O
音	yin	E	O	O
。	。	S	O	O
心	xin	B	O	O
前	qian	E	O	O
区	qu	S	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
震	zhen	B	O	O
颤	zhan	E	O	O
，	，	S	O	O
叩	kou	B	O	O
心	xin	I	O	O
界	jie	E	O	O
不	bu	B	O	O
大	da	E	O	O
，	，	S	O	O
心	xin	B	O	O
率	lv	E	O	O
9	9	B	O	O
2	2	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
杂	za	B	O	O
音	yin	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
胃	wei	B	O	O
肠	chang	E	O	O
型	xing	S	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	O	O
壁	bi	E	O	O
静	jing	B	SB	SB
脉	mai	I	SI	SI
曲	qu	I	SI	SI
张	zhang	E	SE	SE
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
部	bu	B	O	O
分	fen	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
溃	kui	B	SB	O
破	po	E	SE	O
。	。	S	O	O
腹	fu	B	O	O
软	ruan	E	O	O
，	，	S	O	O
肝	gan	B	O	O
脾	pi	I	O	O
未	wei	E	O	O
触	chu	B	O	O
及	ji	E	O	O
肿	zhong	B	SB	SB
大	da	E	SE	SE
，	，	S	O	O
下	xia	B	O	O
腹	fu	I	O	O
部	bu	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
无	wu	B	O	O
反	fan	E	O	O
跳	tiao	S	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
包	bao	B	SB	O
块	kuai	E	SE	O
。	。	S	O	O
叩	kou	B	O	O
鼓	gu	I	O	O
音	yin	E	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
亢	kang	B	O	O
进	jin	E	O	O
，	，	S	O	O
肛	gang	B	O	O
门	men	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
，	，	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
四	si	B	O	O
肢	zhi	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
腰	yao	B	O	O
部	bu	E	O	O
以	yi	B	O	O
下	xia	E	O	O
感	gan	B	O	O
觉	jue	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
全	quan	B	O	O
部	bu	E	O	O
丧	sang	B	O	O
失	shi	E	O	O
活	huo	B	O	O
动	dong	E	O	O
能	neng	B	O	O
力	li	E	O	O
，	，	S	O	O
双	shuang	B	O	O
下	xia	I	O	O
肢	zhi	E	O	O
无	wu	S	O	O
水	shui	B	SB	SB
肿	zhong	E	SE	SE
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肱	gong	S	O	O
二	er	S	O	O
、	、	S	O	O
三	san	B	O	O
头	tou	E	O	O
肌	ji	S	O	O
反	fan	B	O	O
射	she	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
、	、	S	O	O
膝	xi	B	O	O
腱	jian	E	O	O
反	fan	B	O	O
射	she	E	O	O
未	wei	S	O	O
引	yin	B	O	O
出	chu	E	O	O
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
巴	ba	B	O	O
彬	bin	E	O	O
斯	si	B	O	O
基	ji	I	O	O
氏	shi	E	O	O
征	zheng	S	O	O
、	、	S	O	O
克	ke	S	O	O
尼	ni	B	O	O
格	ge	E	O	O
氏	shi	B	O	O
征	zheng	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
双	shuang	S	O	O
肾	shen	B	O	O
区	qu	E	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
输	shu	B	O	O
尿	niao	I	O	O
管	guan	E	O	O
走	zou	B	O	O
行	xing	I	O	O
区	qu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
、	、	S	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
。	。	S	O	O
耻	chi	B	O	O
骨	gu	E	O	O
上	shang	S	O	O
膀	bang	B	O	O
胱	guang	E	O	O
区	qu	S	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
未	wei	B	O	O
诉	su	E	O	O
不	bu	B	O	O
适	shi	E	O	O
，	，	S	O	O
精	jing	B	O	O
神	shen	E	O	O
饮	yin	B	O	O
食	shi	E	O	O
睡	shui	B	O	O
眠	mian	E	O	O
可	ke	S	O	O
，	，	S	O	O
大	da	B	O	O
小	xiao	I	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
神	shen	B	O	O
志	zhi	E	O	O
清	qing	B	O	O
楚	chu	E	O	O
，	，	S	O	O
问	wen	B	O	O
答	da	E	O	O
切	qie	B	O	O
题	ti	E	O	O
，	，	S	O	O
查	cha	B	O	O
体	ti	E	O	O
合	he	B	O	O
作	zuo	E	O	O
。	。	S	O	O
